,graph_name,Top_1,Top_2,Top_3,Top_4,Top_5,Top_6,Top_7,Top_8,Top_9,Top_10
0,3_A_B_OC,1,1,1,1,1,1,1,0,1,0
1,7_nd_A_B_H,1,1,1,1,1,1,0,1,0,1
2,38_A_B_H,0,0,0,0,1,1,0,0,1,0
3,14_nd_A_B_H,1,1,1,1,1,0,1,0,0,0
4,32_A_B_OC,1,1,1,1,1,0,1,0,0,1
5,1_A_B_OC,0,1,1,1,1,0,1,0,0,1
6,13_nd_A_B_OC,1,1,1,1,0,1,0,1,0,1
7,10_nd_A_B_OC,1,1,1,1,1,0,0,1,1,0
8,7_nh_A_B_H,1,1,0,1,1,1,1,1,1,0
9,40_A_B_H,0,1,1,0,1,1,1,0,0,1
10,37_A_B_H,1,0,1,1,0,1,1,1,1,0
11,11_nd_A_B_H,1,1,1,1,1,1,1,1,0,1
12,43_A_B_H,1,1,1,1,1,1,1,0,0,0
13,18_nd_A_B_H,0,1,0,1,1,1,1,1,0,1
14,14_A_B_OC,1,1,1,1,1,1,0,1,0,1
15,10_A_B_OC,0,1,1,1,0,1,1,0,1,0
16,11_nh_A_B_H,1,1,0,1,1,1,0,1,0,0
17,2_A_B_H,1,1,0,0,1,1,0,0,1,0
18,7_nd_A_B_OC,1,0,0,0,1,0,0,0,0,1
19,4_nd_A_B_H,1,1,0,1,1,1,0,0,1,1
20,10_nh_A_B_H,0,1,1,0,1,1,1,1,1,0
21,3_A_B_H,1,1,1,1,1,0,1,1,1,0
22,40_A_B_OC,1,0,1,0,0,0,0,1,1,1
23,35_A_B_H,1,1,1,1,1,1,0,0,1,0
24,48_A_B_H,1,0,1,1,1,1,1,0,0,1
25,8_nh_A_B_H,1,1,0,1,1,1,1,1,0,1
26,25_A_B_H,0,1,1,0,0,1,1,0,0,1
27,21_A_B_OC,1,0,1,1,1,1,1,1,0,1
28,21_nd_A_B_OC,0,1,0,0,1,0,1,0,0,0
29,2_nd_A_B_OC,1,0,0,1,1,0,1,1,1,0
30,21_nd_A_B_H,1,0,0,1,1,1,1,1,0,0
31,6_A_B_H,1,1,1,1,1,1,1,0,0,0
32,25_nd_A_B_H,1,1,1,0,0,1,0,1,0,1
33,46_A_B_H,1,1,1,1,1,1,1,1,0,1
34,47_A_B_H,1,1,1,1,0,1,1,1,1,1
35,13_nh_A_B_H,1,1,0,1,0,0,0,0,1,1
36,41_A_B_OC,1,1,1,0,1,0,1,0,0,0
37,14_A_B_H,1,1,1,0,1,0,1,0,1,1
38,41_A_B_H,1,1,1,1,1,1,0,0,0,0
39,10_nd_A_B_H,0,0,0,0,1,1,1,0,1,0
40,29_A_B_H,0,0,1,1,0,1,1,1,0,0
41,4_A_B_H,0,1,0,1,1,0,1,1,0,1
42,24_nh_A_B_H,1,1,0,1,1,1,0,1,0,1
43,23_nd_A_B_H,0,1,1,0,0,0,1,0,0,0
44,15_A_B_OC,1,0,1,0,0,1,1,0,1,1
45,5_nd_A_B_OC,1,0,1,1,1,1,0,0,0,0
46,4_A_B_OC,1,1,1,1,1,1,0,0,0,1
47,5_nd_A_B_H,1,0,1,0,0,0,0,0,0,0
48,38_A_B_OC,0,1,0,0,0,1,0,0,1,1
49,4_nd_A_B_OC,1,0,1,1,1,1,1,0,1,0
50,19_nd_A_B_H,1,1,1,0,0,0,0,1,1,1
51,17_nd_A_B_H,0,1,1,1,1,0,1,1,1,1
52,12_A_B_H,1,0,1,1,0,1,1,1,0,0
53,2_A_B_OC,1,0,1,0,1,1,0,0,1,0
54,45_A_B_OC,1,1,1,1,1,0,0,0,0,0
55,7_A_B_OC,0,0,0,1,0,1,0,1,1,1
56,6_A_B_OC,1,0,0,1,1,1,1,0,0,1
57,9_A_B_H,1,1,1,1,1,1,1,1,1,1
58,9_nd_A_B_OC,1,1,1,1,1,0,1,0,1,0
59,5_A_B_OC,1,0,1,1,1,1,1,0,0,0
60,19_A_B_OC,0,0,1,1,1,1,1,0,1,1
61,26_nd_A_B_H,1,1,1,0,1,0,0,0,0,1
62,10_A_B_H,1,1,1,1,1,1,1,0,0,0
63,17_A_B_H,1,1,1,1,1,1,1,1,1,0
64,11_nd_A_B_OC,0,1,1,1,1,1,1,1,1,0
65,3_nd_A_B_H,0,0,1,0,1,1,1,0,1,0
66,12_nh_A_B_H,1,1,0,0,1,0,0,0,0,1
67,14_nd_A_B_OC,1,1,1,1,1,1,1,1,0,1
68,12_nd_A_B_OC,1,0,0,1,1,1,1,1,0,1
69,12_A_B_OC,1,1,1,1,1,1,0,0,1,0
70,18_A_B_OC,0,0,1,1,0,1,0,1,0,1
71,16_A_B_OC,1,1,1,1,1,1,0,1,0,1
72,19_nd_A_B_OC,1,1,0,0,0,1,1,0,0,0
73,15_A_B_H,1,0,1,1,1,1,1,1,0,0
74,25_A_B_OC,1,0,0,1,1,1,1,1,0,0
75,7_A_B_H,1,0,1,1,1,0,1,0,0,1
76,1_nd_A_B_OC,1,0,1,0,0,0,0,0,1,0
77,39_A_B_OC,0,1,1,1,0,1,1,1,0,0
78,15_nd_A_B_OC,1,0,0,1,0,0,0,1,0,1
