sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
P7-S15_TRB_new_embedded_high,1,72,0,94,0.45611702127659576,0.2537032120689822,0.45295212765957454,-0.09074691310617435,0.6304171705048668,0.6357391377449904,0.007321050674902768,0.0
P5-S21_TRB_new_embedded_high,1,55,0,82,0.4621951219512195,0.26540800835732675,0.4677134146341462,-0.07992808902231929,0.6414219676510511,0.623083617992189,0.008537714543812105,0.0
P4-S16_TRB_new_embedded_low,0,0,1,107,0.4570093457943924,0.23144083261464182,0.46705607476635524,-0.09485352224701661,0.466804481964471,0.7904009759139669,0.004915028213718923,0.009345794392523364
P9-S16_TRB_new_embedded_low,0,0,49,100,0.44799999999999984,0.243748312823215,0.4457000000000001,-0.11011860337519691,0.6538300150916595,0.6093280756371724,0.006574242424242424,0.49
P2-S10_TRB_new_embedded_low,0,0,82,103,0.4281553398058254,0.22731145351894969,0.4241262135922333,-0.14883721446313897,0.6158371512982921,0.659467815532695,0.0070548972015990865,0.7961165048543689
P7-S23_TRB_new_embedded_low,0,0,12,116,0.45581896551724127,0.24078820839672355,0.45109913793103473,-0.09600319861968944,0.5984653199045238,0.6722918155346916,0.006688671289355324,0.10344827586206896
P3-S1_TRB_new_embedded_low,0,0,69,113,0.44756637168141594,0.2454787986806967,0.44391592920354006,-0.10859098502495841,0.6296762875715818,0.6377907902808828,0.005736212073324905,0.6106194690265486
P5-S17_TRB_new_embedded_low,0,0,0,111,0.45990990990990993,0.25870361421669325,0.4570270270270271,-0.08562167432307875,0.43107778495822996,0.8175631632124173,0.008673628173628172,0.0
P8-S8_TRB_new_embedded_high,1,80,0,102,0.4480392156862745,0.2431755895387883,0.4527205882352942,-0.1060874306603371,0.5997622721691873,0.6710361210249387,0.00758275092215104,0.0
P7-S13_TRB_new_embedded_high,1,105,0,112,0.4571428571428573,0.24586823213519066,0.46294642857142865,-0.09138367675204087,0.5841261279462783,0.6984444963405482,0.004847168597168598,0.0
P4-S11_TRB_new_embedded_high,1,104,0,104,0.44350961538461536,0.23512824235471036,0.4351201923076923,-0.12033080085378847,0.22316487056275416,0.9249501333665365,0.005097029032860343,0.0
P7-S16_TRB_new_embedded_high,1,97,0,109,0.4376146788990825,0.2232304589552097,0.43270642201834875,-0.13236976840971593,0.5370628038873202,0.7232536045345735,0.007541942745497791,0.0
P9-S1_TRB_new_embedded_low,0,0,83,105,0.4428571428571428,0.2564671958198635,0.4453809523809523,-0.1157826582671601,0.6211424215670728,0.6477341386388564,0.007748969780219782,0.7904761904761904
P2-S24_TRB_new_embedded_low,0,0,89,109,0.4449541284403668,0.24626417736424305,0.4373394495412847,-0.11416963081947414,0.6019141463301413,0.6692875651135161,0.005587729357798166,0.8165137614678899
P3-S7_TRB_new_embedded_low,0,0,4,106,0.46273584905660353,0.24794703628990833,0.47365566037735857,-0.08327689457267146,0.5098804540986757,0.7552093227061181,0.005693396226415095,0.03773584905660377
P1-S19_TRB_new_embedded_low,0,0,73,107,0.45911214953271023,0.2633145144243061,0.4627102803738318,-0.08598645542310504,0.6252183400297361,0.6424245653971471,0.005452742020807619,0.6822429906542056
P9-S14_TRB_new_embedded_low,0,0,33,106,0.4655660377358491,0.26401544079057804,0.45990566037735847,-0.07234307853284064,0.644925101229036,0.6203743821292634,0.007517295597484277,0.3113207547169811
P1-S12_TRB_new_embedded_low,0,0,59,102,0.44607843137254916,0.2509818967398151,0.4413235294117647,-0.10983679545715111,0.6529063732518514,0.6063347285182895,0.007632983886623956,0.5784313725490197
P5-S8_TRB_new_embedded_low,0,0,19,100,0.45649999999999985,0.24760074922369973,0.455525,-0.09206727379798525,0.5720480389062538,0.6937950615458299,0.006800757575757576,0.19
P4-S22_TRB_new_embedded_high,1,74,0,95,0.44578947368421046,0.23933142394861381,0.4585789473684211,-0.11696655240018969,0.6460391045777639,0.6159903757677786,0.004702827547592386,0.0
P8-S10_TRB_new_embedded_low,0,0,66,113,0.4378318584070799,0.23377368758742947,0.4504203539823009,-0.13134899164690272,0.6389283354972296,0.6287477557250102,0.005291462547408343,0.584070796460177
P1-S13_TRB_new_embedded_low,0,0,68,100,0.4472499999999999,0.24667284066944833,0.4525,-0.11123843594035865,0.6299720594315668,0.6292689631024824,0.007069381313131315,0.68
P4-S1_TRB_new_embedded_low,0,0,0,104,0.46177884615384596,0.2547253847321169,0.47341346153846164,-0.08248047904682984,0.397459633163862,0.8291233203015917,0.00646792148991785,0.0
P3-S9_TRB_new_embedded_high,1,38,0,91,0.4645604395604393,0.27069136623640105,0.47107142857142875,-0.07368444316784103,0.6207005989151921,0.6421915194226766,0.006695360195360196,0.0
P3-S6_TRB_new_embedded_low,0,0,24,105,0.4542857142857141,0.2536947287555968,0.4487857142857143,-0.09597553022133687,0.6357162484283315,0.6312061703425466,0.005618475274725276,0.22857142857142856
P6-S16_TRB_new_embedded_high,1,14,0,107,0.48551401869158856,0.317870999651119,0.48509345794392544,-0.029496681651382525,0.46788236029004937,0.7718681443307214,0.0072999691412449315,0.0
P8-S1_TRB_new_embedded_low,0,0,2,107,0.4427570093457945,0.22967494219119478,0.4442757009345794,-0.12060557111591709,0.48222366289152807,0.7814751037272294,0.006096808323047082,0.018691588785046728
