sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
P9-S21_TRB_new_embedded_low,0,0,36,98,0.4561224489795916,0.2643144326632076,0.45076530612244897,-0.08803305181484754,0.6559694630694041,0.6081037768628511,0.007191510624868505,0.3673469387755102
P5-S15_TRB_new_embedded_high,1,69,0,95,0.44868421052631585,0.24045531721086524,0.46402631578947373,-0.10549184548926371,0.6322737409650949,0.6317412380399905,0.007052771556550951,0.7263157894736842
P3-S18_TRB_new_embedded_low,0,0,70,107,0.4371495327102803,0.24171794804274055,0.43254672897196245,-0.12649509510064283,0.6392958804272858,0.6247344909903929,0.0061953359195909006,0.6542056074766355
P6-S23_TRB_new_embedded_low,0,0,70,100,0.4490000000000001,0.2447830658227274,0.44850000000000007,-0.10323126786064296,0.6047200927162895,0.6632162389901157,0.006615151515151516,0.7
P5-S17_TRB_new_embedded_low,0,0,0,109,0.4541284403669727,0.23975218478020519,0.47357798165137605,-0.09585138980597543,0.4366834148614325,0.8180451963616959,0.006348538905878355,0.0
P1-S18_TRB_new_embedded_high,1,86,0,95,0.46315789473684216,0.257681952126047,0.45752631578947334,-0.0738157787880958,0.5952974256678918,0.6816778542591729,0.006965985442329226,0.9052631578947369
P6-S19_TRB_new_embedded_low,0,0,21,102,0.4558823529411765,0.26074038122014104,0.44816176470588215,-0.0871601570133711,0.6077265544616584,0.6613039215955789,0.007217530576587072,0.20588235294117646
P3-S5_TRB_new_embedded_low,0,0,8,108,0.4710648148148149,0.26845368643022216,0.4642824074074074,-0.05937920351474092,0.5013929531960598,0.7467643821897941,0.006240210713049497,0.07407407407407407
P3-S10_TRB_new_embedded_low,0,0,4,103,0.46067961165048554,0.23879514007992558,0.4658495145631067,-0.08416565051532637,0.43378701041811357,0.8041644599326059,0.008377474776318294,0.038834951456310676
P1-S11_TRB_new_embedded_low,0,0,31,103,0.4507281553398056,0.25439027322225133,0.45123786407766997,-0.09674700499558946,0.5961734765671683,0.667784577710107,0.008743337140681515,0.30097087378640774
