sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
pool2_S20_low,0,0,35,101,0.4763476347634762,0.30171477100464233,0.4749724972497249,-0.04808966341305469,0.6410720320887106,0.6311644116164867,0.005665835472436131,0.3465346534653465
pool9_S11_low,0,0,14,105,0.4881481481481478,0.29892520089012586,0.49105820105820097,-0.023285488539037134,0.6180155587119199,0.6542472472220533,0.0075036008230452665,0.13333333333333333
pool1_S8_low,0,0,5,84,0.5017195767195768,0.332450728370627,0.5015211640211641,0.006513443014935908,0.5824240109126029,0.6895950770593009,0.007420776580749807,0.05952380952380952
pool8_S8_high,1,87,0,108,0.48050411522633746,0.2878068983621919,0.48263888888888884,-0.03680390922732258,0.6470135685060713,0.618888202452242,0.005852945292702415,0.8055555555555556
pool6_S24_low,0,0,95,106,0.47872117400419284,0.3078924043144765,0.4665094339622639,-0.04577407270996568,0.5706680219681817,0.7009315208604816,0.0065622996461570885,0.8962264150943396
pool4_S11_high,1,109,0,112,0.48874007936507924,0.29614914002131426,0.47643849206349226,-0.022643910572437885,0.40901991701622065,0.8182352965149111,0.006354387621748734,0.9732142857142857
pool3_S8_low,0,0,1,91,0.49652014652014664,0.3124012559878167,0.49789377289377307,-0.00503180151647125,0.4720012302481541,0.7884874182288627,0.006842694342694341,0.01098901098901099
pool1_S11_low,0,0,92,106,0.4698637316561843,0.2877897216231369,0.4702044025157231,-0.06485945586473313,0.6158220515693845,0.6598408703714749,0.00538562499306734,0.8679245283018868
pool4_S5_low,0,0,30,113,0.4901671583087512,0.3120040093001768,0.49759095378564394,-0.017721073848899385,0.62117016120276,0.6465637796860499,0.006261027805091226,0.26548672566371684
pool7_S5_high,1,18,0,103,0.5180151024811219,0.36815055500034444,0.5292071197411004,0.037171409449735786,0.63939630221439,0.6372500596994832,0.006015774642591064,0.17475728155339806
pool7_S11_high,1,111,0,112,0.4850694444444443,0.30991074377642197,0.4850942460317461,-0.02793964784800123,0.4255450332734098,0.8161435228093595,0.006292420893115337,0.9910714285714286
pool6_S4_low,0,0,38,115,0.4825120772946858,0.30477571764290645,0.4770772946859902,-0.03706622801674565,0.6432864955687518,0.6141633216872932,0.007097272838564473,0.33043478260869563
pool7_S24_low,0,0,68,117,0.48950617283950615,0.32196900334367473,0.4816476733143402,-0.020152420024146234,0.6557984208289412,0.6087520664996532,0.006984236791069485,0.5811965811965812
pool8_S12_low,0,0,10,104,0.4956730769230766,0.3155318967741306,0.4979166666666667,-0.009827570653916335,0.5868219194104404,0.7000194238464204,0.006629483837210374,0.09615384615384616
pool8_S15_low,0,0,31,90,0.483456790123457,0.2964076997644769,0.48848765432098756,-0.03545400047994536,0.6062390603546411,0.6510708607428799,0.006464820209306268,0.34444444444444444
pool5_S8_low,0,0,0,118,0.4874293785310732,0.3006015285373204,0.4980932203389831,-0.02745045147616843,0.37683144813600356,0.850905385944153,0.006892702314077077,0.0
pool4_S22_high,1,84,0,102,0.48071895424836586,0.292098498155247,0.48741830065359454,-0.03720794180144734,0.6140637852071957,0.6567403912484846,0.007508682240773098,0.8235294117647058
pool4_S19_high,1,32,0,90,0.48277777777777786,0.3146817476987978,0.49540123456790114,-0.037071936200974036,0.645183178598617,0.6172861662726621,0.006784609515882924,0.35555555555555557
pool7_S16_high,1,65,0,98,0.4789115646258502,0.3052540242708252,0.4960034013605444,-0.045742809016693635,0.6510694214698199,0.6194951825993614,0.006280360941627509,0.6632653061224489
pool1_S16_high,1,66,0,105,0.498201058201058,0.3203657089057352,0.4952116402116402,-0.005305599568980342,0.5727523323010958,0.6850206146252817,0.007289586442364221,0.6285714285714286
pool3_S10_low,0,0,24,116,0.5006226053639847,0.3216798527961268,0.49595306513409954,0.0026402401100844093,0.6466636550535346,0.6149748017740303,0.005960693264478872,0.20689655172413793
pool1_S7_high,1,56,0,103,0.49503775620280466,0.32798393855253133,0.50029665587918,-0.009009757046251255,0.6490862450547235,0.6127259926699937,0.0062254373162425715,0.5436893203883495
pool7_S7_low,0,0,17,89,0.5028714107365791,0.31289029590928,0.5043383270911361,0.006702099175517265,0.6145152764424544,0.6611434530770096,0.007190735381278452,0.19101123595505617
pool7_S3_low,0,0,30,98,0.4988662131519274,0.3201789651280543,0.496938775510204,-0.003835148335117785,0.5778472401457334,0.675019679390825,0.006122539890335668,0.30612244897959184
pool8_S22_low,0,0,30,108,0.49022633744855953,0.3106706618697725,0.4845421810699587,-0.014633029440710635,0.6386318738078063,0.6300407470280877,0.00779674072364738,0.2777777777777778
pool1_S22_high,1,112,0,112,0.4839781746031745,0.29336252970581134,0.47661210317460295,-0.032269532715196274,0.515780824744548,0.756045419089353,0.006493018315934982,1.0
pool3_S18_low,0,0,89,95,0.4883040935672514,0.32880456176381795,0.4863742690058478,-0.02464059479187431,0.5970863212390954,0.6812776091373863,0.006763510430923645,0.9368421052631579
pool6_S19_low,0,0,27,92,0.47874396135265684,0.29113087922572045,0.4782004830917875,-0.043648169529338476,0.638405105205759,0.6346036632385484,0.005799490364707756,0.29347826086956524
pool5_S9_low,0,0,20,120,0.490648148148148,0.3219669470640103,0.49046296296296293,-0.013369681770705482,0.6137942056762345,0.6634848128166088,0.008196381021544422,0.16666666666666666
