,sample_name,false_negative_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,balanced_accuracy_variance,appearance_rate
0,pool1_S23_high,88,88,0.5341540404040402,0.3575389800448383,0.006174641530244977,1.0
1,pool4_S11_high,100,100,0.5477222222222223,0.3768500158476599,0.00645847050754458,1.0
2,pool9_S5_high,51,101,0.5408140814081407,0.3727134776650053,0.006441626940471824,0.504950495049505
3,pool7_S16_high,104,106,0.5493710691823899,0.3806579340138541,0.006346455470145199,0.9811320754716981
4,pool2_S16_high,53,105,0.560899470899471,0.39148248265681845,0.0064113982725093836,0.5047619047619047
5,pool6_S11_high,91,95,0.5528654970760234,0.37872188374427096,0.007168284185641407,0.9578947368421052
6,pool9_S4_high,31,95,0.5557309941520466,0.38003194552855524,0.0061902105539656865,0.3263157894736842
7,pool3_S12_high,97,99,0.5428731762065094,0.3744149453496931,0.007425699423053919,0.9797979797979798
8,pool8_S19_high,95,99,0.5520202020202022,0.37708636635230586,0.0061882429739572595,0.9595959595959596
9,pool6_S3_high,6,110,0.5727777777777778,0.43027157929042414,0.006103720693170234,0.05454545454545454
10,pool5_S5_high,108,108,0.5490740740740739,0.3770270081252938,0.00662541825314411,1.0
11,pool7_S13_high,79,85,0.5394117647058823,0.36009817490612134,0.007856866203271431,0.9294117647058824
12,pool1_S7_high,70,96,0.5598379629629631,0.3966510678393586,0.006663079380550141,0.7291666666666666
13,pool7_S15_high,102,108,0.5313786008230454,0.34693554439117974,0.005304208385147578,0.9444444444444444
14,pool1_S18_high,96,96,0.5496527777777777,0.3824542403885179,0.007797149122807018,1.0
15,pool2_S4_high,113,114,0.5364522417153996,0.3673809760992102,0.005999691405943023,0.9912280701754386
16,pool6_S10_high,53,94,0.5511820330969268,0.39169009696211154,0.00566167021135373,0.5638297872340425
17,pool9_S12_high,12,99,0.5607182940516274,0.4105564492993976,0.0050152762189799235,0.12121212121212122
18,pool7_S6_high,3,122,0.5793715846994537,0.4356239948318619,0.006466421542800081,0.02459016393442623
19,pool8_S8_high,58,116,0.5443486590038313,0.37239000433384245,0.007383780332056194,0.5
20,pool1_S1_high,65,118,0.557015065913371,0.3993858322496261,0.00726412787068782,0.5508474576271186
21,pool1_S16_high,118,118,0.5470338983050848,0.3741448788293491,0.005764842356964139,1.0
22,pool1_S22_high,15,105,0.5628042328042328,0.40744268375980003,0.005686801881246326,0.14285714285714285
23,pool2_S23_high,82,96,0.5321180555555555,0.35660311167363323,0.006972841536712149,0.8541666666666666
24,pool4_S6_high,108,110,0.5408585858585857,0.3723285481116523,0.007288813208537978,0.9818181818181818
25,pool5_S11_high,93,93,0.5324970131421743,0.35696485335034916,0.007858927963338124,1.0
26,pool9_S19_high,98,111,0.5386386386386385,0.3642665892813958,0.0073919121141343335,0.8828828828828829
27,pool9_S2_high,80,88,0.5357954545454544,0.3518996226883544,0.007123497910135841,0.9090909090909091
28,pool3_S13_high,102,103,0.5377562028047466,0.3664999520684468,0.006011473749274371,0.9902912621359223
29,pool9_S10_high,95,95,0.5364327485380118,0.3624949858011258,0.006474071309084375,1.0
30,pool2_S15_high,3,89,0.5714731585518102,0.42301145576190513,0.006405156433246322,0.033707865168539325
31,pool3_S9_high,4,113,0.5720747295968533,0.4243095791553162,0.005720050803015404,0.035398230088495575
32,pool7_S5_high,21,97,0.5577319587628867,0.40842872488753823,0.006978881623605278,0.21649484536082475
33,pool5_S3_high,87,99,0.5474186307519641,0.3841803149125595,0.00520112946038872,0.8787878787878788
34,pool5_S10_high,0,89,0.5755305867665418,0.4285695052249141,0.007519443813919468,0.0
35,pool6_S16_high,103,104,0.5352564102564104,0.3540304218277491,0.006638960344461961,0.9903846153846154
36,pool5_S4_high,93,101,0.5397689768976899,0.3591001379984278,0.00788131646497983,0.9207920792079208
37,pool7_S11_high,33,91,0.5622710622710624,0.4118722736661938,0.007614208836431056,0.3626373626373626
38,pool5_S7_high,95,100,0.5267222222222223,0.34813977223924697,0.005945064845990769,0.95
39,pool4_S19_high,1,116,0.5739942528735634,0.43408468686775714,0.0067963495104299675,0.008620689655172414
40,pool6_S14_high,67,119,0.5477591036414566,0.3826742366027542,0.007504875145287241,0.5630252100840336
41,pool5_S18_high,119,127,0.5313648293963255,0.34864759076635143,0.006495947265851026,0.937007874015748
42,pool5_S15_high,30,95,0.5644444444444445,0.4138922217680565,0.006606514315734172,0.3157894736842105
43,pool5_S13_high,23,111,0.5654154154154155,0.405846504016962,0.007599710821933042,0.2072072072072072
44,pool6_S5_high,13,100,0.5633888888888888,0.41212342908658,0.0068936868686868685,0.13
45,pool5_S21_high,86,88,0.5361742424242425,0.3688106357496277,0.006216116303520518,0.9772727272727273
46,pool4_S22_high,67,87,0.5335887611749682,0.3596549710965024,0.004951843271588436,0.7701149425287356
47,pool1_S2_high,27,92,0.5628623188405798,0.3967828288460561,0.00815217022644559,0.29347826086956524
48,pool7_S2_high,73,109,0.5566768603465851,0.3869864134285547,0.007654195139754093,0.6697247706422018
