,sample_name,false_negative_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,balanced_accuracy_variance,appearance_rate
0,pool9_S5_high,74,100,0.5571666666666667,0.39043549626515,0.005355589849108367,0.74
1,pool5_S10_high,0,94,0.5939716312056738,0.4530910602379297,0.005355541998186703,0.0
2,pool3_S9_high,0,112,0.5796626984126984,0.44403879312549216,0.005931794890128224,0.0
3,pool6_S14_high,46,102,0.5666666666666667,0.4143324795787123,0.006637330399706635,0.45098039215686275
4,pool2_S4_high,90,90,0.556358024691358,0.39918429893244795,0.006163518595582681,1.0
5,pool5_S18_high,105,116,0.5564176245210729,0.38876599101193615,0.005827484405945175,0.9051724137931034
6,pool9_S2_high,72,102,0.5524509803921569,0.3889797340205318,0.005412891779374015,0.7058823529411765
7,pool1_S22_high,4,106,0.5751048218029353,0.42554772435334176,0.005772622652601689,0.03773584905660377
8,pool7_S16_high,90,93,0.5562724014336918,0.3919866884252312,0.005123608297404463,0.967741935483871
9,pool1_S7_high,53,90,0.5714814814814818,0.4053468411475318,0.0052754889721181855,0.5888888888888889
10,pool9_S19_high,91,94,0.5537234042553192,0.37630154512756603,0.005966008428164305,0.9680851063829787
11,pool2_S16_high,41,108,0.5743312757201648,0.4225924227835841,0.006450165912422171,0.37962962962962965
12,pool6_S5_high,16,88,0.5693813131313131,0.42604623508022643,0.005295157030070823,0.18181818181818182
13,pool5_S15_high,78,102,0.561764705882353,0.40520728133347184,0.0045191872128389305,0.7647058823529411
14,pool2_S15_high,0,112,0.5841765873015873,0.44950990451561906,0.0057464185415574305,0.0
15,pool1_S18_high,93,100,0.5541666666666668,0.3878205014239134,0.007276702207257761,0.93
16,pool5_S4_high,63,92,0.5580917874396136,0.40067490790406846,0.005167828682321435,0.6847826086956522
17,pool6_S10_high,29,109,0.5704892966360856,0.41242959922574013,0.00735750871496709,0.26605504587155965
18,pool7_S5_high,34,107,0.5719106957424717,0.42185360687558426,0.005240409839099078,0.3177570093457944
19,pool1_S16_high,115,119,0.5484126984126985,0.3835670696865636,0.006729516037425642,0.9663865546218487
20,pool5_S7_high,82,95,0.5542105263157896,0.3919702605144081,0.005824609790828531,0.8631578947368421
21,pool7_S2_high,67,101,0.5632013201320133,0.4017054312011587,0.00650669844762254,0.6633663366336634
22,pool7_S6_high,10,108,0.5727880658436213,0.4353221538217646,0.00596858187078275,0.09259259259259259
23,pool6_S16_high,89,92,0.55,0.38777222300232866,0.007610229276895942,0.967391304347826
24,pool8_S8_high,38,98,0.5653061224489796,0.41219931476912497,0.006074876686069618,0.3877551020408163
25,pool7_S15_high,93,96,0.5619791666666664,0.39628425614047796,0.007568114441195583,0.96875
26,pool9_S10_high,92,92,0.5477053140096619,0.3871609843859897,0.006847885072522754,1.0
27,pool1_S2_high,32,115,0.5678260869565216,0.41118360426972966,0.007012938949628498,0.2782608695652174
28,pool1_S23_high,102,102,0.5617647058823534,0.40351840541092887,0.005387051777073132,1.0
29,pool4_S22_high,60,92,0.5410024154589371,0.3804212359155529,0.00666452475329287,0.6521739130434783
30,pool5_S11_high,97,98,0.5427437641723355,0.3652139417312164,0.006665017286028576,0.9897959183673469
31,pool6_S11_high,95,102,0.5564270152505447,0.386640388908923,0.006609060688203897,0.9313725490196079
32,pool7_S11_high,39,100,0.5472777777777778,0.38372291528187313,0.007715110986407283,0.39
33,pool2_S23_high,95,101,0.5466446644664464,0.3877984867923612,0.007087703214765923,0.9405940594059405
34,pool4_S19_high,4,115,0.5826570048309178,0.44253739164867667,0.007125377856880526,0.034782608695652174
35,pool9_S12_high,18,104,0.5715811965811965,0.428356412645406,0.006328243852515696,0.17307692307692307
36,pool1_S1_high,46,98,0.554251700680272,0.39068096462496066,0.006560265381448494,0.46938775510204084
37,pool6_S3_high,6,95,0.5736842105263156,0.4244402489774535,0.006048864280480555,0.06315789473684211
38,pool5_S5_high,111,112,0.5481646825396826,0.38428613022996366,0.005777660100576768,0.9910714285714286
39,pool3_S12_high,108,109,0.5526503567787973,0.38595284631445276,0.006482393878758134,0.9908256880733946
40,pool5_S21_high,92,101,0.5526402640264024,0.3905944979392889,0.007663946950250583,0.9108910891089109
41,pool9_S4_high,34,109,0.578032619775739,0.43513942619255136,0.005491189598251554,0.3119266055045872
42,pool3_S13_high,101,103,0.5477346278317153,0.3735377067704328,0.005459596280079813,0.9805825242718447
43,pool5_S13_high,17,100,0.5824444444444447,0.43630421061865365,0.006323556553186183,0.17
44,pool4_S11_high,109,109,0.5588175331294599,0.4026033976055707,0.007870490974608088,1.0
45,pool7_S13_high,91,97,0.5521764032073311,0.39123961007546215,0.006494056520724619,0.9381443298969072
46,pool5_S3_high,80,108,0.5593106995884773,0.38770455064144543,0.005528342392813951,0.7407407407407407
47,pool4_S6_high,108,108,0.549074074074074,0.3832970052511711,0.005741606092073381,1.0
48,pool8_S19_high,103,104,0.560309829059829,0.4015664560954261,0.005435345960224601,0.9903846153846154
