,sample_name,false_negative_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,balanced_accuracy_variance
0,pool4_S19_high,46,90,0.49117283950617285,0.32818540627480797,0.007494724958000031
1,pool8_S8_high,68,91,0.47277167277167276,0.2925890051692408,0.006799077465744131
2,pool2_S16_high,107,107,0.4797507788161995,0.30516277743176473,0.005989548297489285
3,pool5_S21_high,93,93,0.48596176821983267,0.3137790063038182,0.007133381238492661
4,pool1_S18_high,98,98,0.4892857142857141,0.31041301046952485,0.005866902125493192
5,pool9_S10_high,104,126,0.49673721340388005,0.320221908099792,0.00696803448951597
6,pool7_S11_high,109,109,0.4825688073394494,0.3136829734613337,0.006257697696563934
7,pool3_S12_high,101,101,0.48520352035203523,0.3111061146122164,0.005985973597359734
8,pool7_S5_high,28,107,0.5115784008307372,0.3557203226515642,0.007496576691897917
9,pool4_S11_high,97,107,0.4656282450674976,0.28787355599066566,0.007010325437410606
10,pool5_S13_high,28,113,0.5048672566371684,0.354788641688765,0.008212154289772284
11,pool1_S23_high,95,101,0.48943894389438947,0.3021708913231629,0.004487966018824104
12,pool5_S3_high,39,105,0.4929100529100533,0.32970811980370374,0.008293859946637724
13,pool7_S13_high,83,112,0.47495039682539686,0.2924956492207599,0.0065582224089168525
14,pool2_S15_high,96,103,0.48279395900755123,0.2970548578442986,0.006489055049084241
15,pool7_S2_high,46,103,0.49207119741100336,0.3310868106056829,0.006011015457363575
16,pool7_S6_high,9,114,0.5045808966861597,0.34017002972374044,0.006823580036072921
17,pool5_S4_high,84,106,0.4768867924528303,0.2964464421847552,0.006828416691624237
18,pool5_S7_high,54,96,0.4931134259259258,0.3216973868010204,0.007960198045267488
19,pool6_S16_high,84,99,0.47828282828282837,0.30622084542608924,0.007071107904441236
20,pool2_S23_high,85,98,0.487358276643991,0.30709982439190003,0.007843821186359233
21,pool9_S5_high,33,75,0.48748148148148174,0.3135059113961523,0.00885893671449227
22,pool1_S2_high,62,102,0.49901960784313726,0.34237639672545656,0.009090827383391934
23,pool4_S6_high,109,110,0.4837373737373737,0.30958248321889553,0.0069694807401229405
24,pool1_S7_high,15,115,0.5108695652173914,0.3602409200628457,0.008176516842293603
25,pool5_S5_high,62,87,0.49725415070242657,0.318232615777535,0.007064221621603784
26,pool6_S5_high,48,98,0.4935374149659867,0.3284796480515406,0.006566560950458839
27,pool9_S2_high,44,110,0.4987878787878788,0.33443629786523105,0.007635848804044523
28,pool9_S12_high,70,98,0.49348072562358275,0.3251221322167639,0.007604699955583607
29,pool2_S4_high,66,105,0.4873544973544973,0.31303815559995957,0.008680849500293944
30,pool5_S18_high,91,96,0.4624999999999999,0.2848990246529309,0.006157894736842105
31,pool5_S15_high,107,108,0.496707818930041,0.32490257261222383,0.00621209013328547
32,pool1_S22_high,102,102,0.48730936819172094,0.3107539275553336,0.007267679654675706
33,pool9_S19_high,90,93,0.4928912783751495,0.30996327894684633,0.006979579704373221
34,pool3_S9_high,23,82,0.507859078590786,0.34844773445968813,0.00875167750305761
35,pool6_S10_high,74,103,0.5008090614886732,0.31702189738228614,0.007587997922410006
36,pool3_S13_high,18,101,0.49339933993399343,0.3406638816579455,0.007260933871164893
37,pool7_S16_high,59,101,0.48135313531353136,0.3131614739796381,0.007779372937293729
38,pool8_S19_high,67,104,0.48712606837606837,0.3288145101754092,0.008923207732876016
39,pool5_S11_high,43,110,0.5056565656565657,0.3517969211885893,0.008194009411134793
40,pool5_S10_high,25,121,0.5122589531680439,0.36955571813585236,0.009285451314491718
41,pool7_S15_high,70,102,0.4970043572984751,0.33547484031429414,0.007149291998916667
42,pool1_S1_high,105,109,0.4772171253822631,0.30392936275985394,0.007351363142505967
43,pool6_S3_high,74,97,0.4891752577319588,0.3169421148758773,0.006241879587204616
44,pool6_S11_high,82,94,0.481501182033097,0.2993481445109407,0.006838170913230014
45,pool4_S22_high,85,99,0.46778900112233457,0.29202922409243925,0.008359145753325647
46,pool1_S16_high,76,108,0.4904835390946504,0.3128349140200591,0.006035566473939036
47,pool9_S4_high,53,99,0.4818742985409652,0.3158805775922968,0.008014982274241533
48,pool6_S14_high,91,92,0.47826086956521746,0.30056738100908037,0.007675791733762749
