,sample_name,false_negative_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,balanced_accuracy_variance,appearance_rate
0,AR_072,51,107,0.583852544132918,0.5154650135482413,0.004655503534512024,0.4766355140186916
1,AR_083,116,116,0.5692391899288453,0.495611902415493,0.006823902863383123,1.0
2,AR_057,0,104,0.5887515262515264,0.5314640719111541,0.005998875292102293,0.0
3,AR_002,52,105,0.5696523053665912,0.4996603596628793,0.005776129472274598,0.49523809523809526
4,AR_039,47,104,0.587492368742369,0.5181967480748199,0.007881585872946253,0.4519230769230769
5,AR_055,1,107,0.6013573653760573,0.5480369447073352,0.007617787966953732,0.009345794392523364
6,AR_075,4,106,0.5918313866427075,0.5349107754541483,0.005891324034855034,0.03773584905660377
7,AR_099,12,104,0.5989010989010991,0.5384891344029886,0.0048420441393164475,0.11538461538461539
8,AR_078,6,96,0.5839947089947092,0.5296926766823512,0.006024872587111518,0.0625
9,AR_041,49,102,0.5950824774354184,0.5248128174960716,0.006349618444126215,0.4803921568627451
10,AR_071,14,97,0.5811651120929471,0.5245337491028811,0.00582805171674117,0.14432989690721648
11,AR_005,96,103,0.5719294190167978,0.4970369301967713,0.005497470473266615,0.9320388349514563
12,AR_006,42,100,0.5750000000000002,0.5102288509430336,0.007232662986631239,0.42
13,AR_080,101,101,0.5591702027345594,0.48251826794107605,0.005222379380795223,1.0
14,AR_023,30,93,0.5698498037207714,0.508977680814019,0.004798102339649348,0.3225806451612903
15,AR_094,0,92,0.6003709454796413,0.5482674154515034,0.004433929590133378,0.0
16,AR_079,22,105,0.5872637944066517,0.5223908012397119,0.005856231720744192,0.20952380952380953
17,AR_092,104,135,0.5718988830099944,0.49717545334801105,0.005027313322806754,0.7703703703703704
18,AR_016,82,118,0.5745897228948078,0.5048052622032169,0.007287665121043294,0.6949152542372882
19,AR_067,107,113,0.5726927939317323,0.5000119870219062,0.005715687618869245,0.9469026548672567
20,AR_007,50,92,0.5821687370600415,0.5194582801851554,0.005132682839907033,0.5434782608695652
21,AR_093,7,108,0.596413874191652,0.5361465864421633,0.005900359579751033,0.06481481481481481
22,AR_100,0,109,0.595165283238678,0.5341510075534437,0.0054846302045062625,0.0
23,AR_084,78,102,0.5828664799253035,0.5142389211341958,0.005086229578006487,0.7647058823529411
24,AR_048,92,105,0.5752078609221468,0.5041651101270288,0.004190342023391909,0.8761904761904762
25,AR_087,92,103,0.5781322237632919,0.5072299569765776,0.006480070153435939,0.8932038834951457
26,AR_051,88,105,0.5623204837490556,0.4850680167750965,0.005643776470023635,0.8380952380952381
27,AR_056,1,105,0.5826908541194259,0.5195303087047975,0.005221998072054763,0.009523809523809525
28,AR_003,72,100,0.5694444444444448,0.4915180044644631,0.00471981721981722,0.72
29,AR_047,116,116,0.5774493705528186,0.507338037002951,0.0060691781849060355,1.0
30,AR_073,7,97,0.5991654393716251,0.536526483444846,0.00539680402197789,0.07216494845360824
31,AR_040,85,113,0.5673900828768087,0.49958620288935024,0.005769879034865338,0.7522123893805309
32,AR_022,90,96,0.5829199735449738,0.514625802450648,0.005386309413303984,0.9375
33,AR_095,0,116,0.5909961685823756,0.5328154453092712,0.0060202230706264395,0.0
34,AR_065,0,107,0.6006156356623649,0.5420892038796482,0.005904620578483424,0.0
35,AR_012,108,108,0.5853174603174606,0.5120496591807466,0.005568418090669982,1.0
36,AR_052,31,97,0.5914743904434625,0.5292531153871572,0.007030846854141937,0.31958762886597936
37,AR_043,49,124,0.5720046082949312,0.5037875504576246,0.005303985344854302,0.3951612903225806
38,AR_053,0,92,0.5882505175983436,0.5249235592757422,0.007948748946234896,0.0
39,AR_077,24,106,0.595125786163522,0.5373883812644499,0.006301052666249688,0.22641509433962265
40,AR_089,1,106,0.6008909853249477,0.5456332421972852,0.005032738279165781,0.009433962264150943
