,sample_name,false_negative_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,balanced_accuracy_variance,appearance_rate
0,AR_088,68,91,0.5809785452642595,0.5094412570347951,0.007695045639112155,0.7472527472527473
1,AR_050,103,104,0.5784493284493285,0.4999837657490376,0.005396259961678362,0.9903846153846154
2,AR_076,86,110,0.5793290043290044,0.5080709710271342,0.006840714925577309,0.7818181818181819
3,AR_006,0,104,0.5934447496947498,0.5372759692068605,0.006221419828822742,0.0
4,AR_085,39,105,0.5944066515495086,0.5348799278254619,0.006809896662504372,0.37142857142857144
5,AR_040,111,118,0.570318805488297,0.4874540257949663,0.006861102387848866,0.940677966101695
6,AR_092,103,122,0.578486859224564,0.5014407412573861,0.007042313543360311,0.8442622950819673
7,AR_022,88,88,0.5798160173160173,0.5054228062983626,0.0061968878847641845,1.0
8,AR_087,86,123,0.5845915602013162,0.5156484448991173,0.006111740237137697,0.6991869918699187
9,AR_063,42,91,0.5939298796441657,0.5285683449126533,0.007533053016802071,0.46153846153846156
10,AR_082,49,92,0.5996808143547274,0.5378615420179742,0.006577708833883041,0.532608695652174
11,AR_073,2,98,0.611232588273405,0.5591161302509559,0.005080109924606634,0.02040816326530612
12,AR_052,19,112,0.6012259070294784,0.5440738489380406,0.0057580243326416794,0.16964285714285715
13,AR_093,25,102,0.5971833177715532,0.5457697073574579,0.005329279982375544,0.24509803921568626
14,AR_062,17,111,0.5863720863720865,0.5249764155068143,0.004775062116331958,0.15315315315315314
15,AR_007,38,101,0.5831368851170831,0.5144555742399652,0.006910864272368279,0.37623762376237624
16,AR_012,107,107,0.5845571873609261,0.508802107354673,0.005561798280706511,1.0
17,AR_096,62,104,0.5899725274725276,0.5223616706144518,0.0070728492625163905,0.5961538461538461
18,AR_060,21,100,0.5930158730158733,0.5307729890515878,0.007225607040421855,0.21
19,AR_056,29,122,0.5907168878480354,0.5351412059312753,0.006945177286618631,0.23770491803278687
20,AR_016,118,120,0.5721891534391534,0.49112620821661623,0.006035031958109521,0.9833333333333333
21,AR_079,27,106,0.5998427672955975,0.5373670363587297,0.00825448919376742,0.25471698113207547
22,AR_095,0,104,0.599053724053724,0.5406756474655295,0.005976207316937784,0.0
23,AR_003,111,111,0.572787072787073,0.4928500500937886,0.0074104123707298295,1.0
24,AR_043,12,109,0.594109509247124,0.5332063420276264,0.005852093231548922,0.11009174311926606
25,AR_057,0,112,0.6035643424036282,0.5516936683294993,0.005104299259982366,0.0
26,AR_080,91,103,0.5846817691477888,0.510044954613092,0.005205648122847364,0.883495145631068
27,AR_013,118,118,0.5768428840462738,0.5142999512847364,0.006154445148145265,1.0
28,AR_055,2,103,0.617660656495608,0.5639092209652015,0.006610270261766458,0.019417475728155338
29,AR_100,4,95,0.6048454469507104,0.5488388367720015,0.005229886322244879,0.042105263157894736
30,AR_065,5,102,0.6006847183317773,0.5409813029291463,0.0063415110574238254,0.049019607843137254
31,AR_089,0,91,0.6076225361939649,0.5507628380200871,0.006699782748535584,0.0
32,AR_072,106,108,0.5722736625514406,0.4957164879689502,0.005731054376418977,0.9814814814814815
33,AR_004,84,110,0.5795815295815298,0.5075180266157653,0.006523850079988131,0.7636363636363637
34,AR_084,82,108,0.5835905349794241,0.5086537115668304,0.006327152590328594,0.7592592592592593
35,AR_078,13,111,0.593879593879594,0.5359705151769175,0.006421498286577651,0.11711711711711711
36,AR_071,5,108,0.6023295120517344,0.5455059526970206,0.0066870615629557595,0.046296296296296294
37,AR_066,9,104,0.5918803418803419,0.5331944416086641,0.00523069848081406,0.08653846153846154
38,AR_010,35,117,0.59659476326143,0.5302757154932856,0.006727830990055037,0.29914529914529914
39,AR_048,104,111,0.5734663234663238,0.5003909494415063,0.007319757914996012,0.9369369369369369
40,AR_098,2,92,0.6022688060731539,0.5412775623900443,0.006807948157585838,0.021739130434782608
41,AR_005,75,91,0.5853392639106928,0.513426837400774,0.006978168873482555,0.8241758241758241
42,AR_021,98,98,0.576976028506641,0.5005919979190889,0.0061087928208819284,1.0
43,AR_091,27,103,0.5937740792109722,0.5253969177893912,0.006499201622396532,0.2621359223300971
44,AR_097,1,102,0.6134453781512608,0.5631270388891584,0.007006763101280117,0.00980392156862745
45,AR_017,80,128,0.592168898809524,0.52662314382963,0.006214058273407789,0.625
46,AR_075,35,91,0.5824175824175826,0.5136790922743404,0.0069584687309555025,0.38461538461538464
47,AR_002,64,101,0.5922520823510923,0.5217481698555351,0.007688777381139474,0.6336633663366337
48,AR_083,84,88,0.5890602453102454,0.5191355789749846,0.00433490946883804,0.9545454545454546
49,AR_039,106,111,0.5878378378378379,0.515732303048415,0.006299241418289038,0.954954954954955
50,AR_054,14,112,0.5956986961451248,0.5370774728786348,0.005819522906045015,0.125
51,AR_077,0,103,0.6113807982740023,0.5626322486064178,0.006247641691220416,0.0
52,AR_053,3,103,0.6144629372784715,0.5656596615560313,0.006040304171530772,0.02912621359223301
53,AR_001,90,90,0.5746472663139331,0.5106555065974772,0.006023470677400288,1.0
54,AR_074,0,93,0.6112817887011439,0.5608497081652676,0.005329658788523634,0.0
55,AR_023,18,105,0.6045351473922905,0.5425519682615095,0.0071754500538514145,0.17142857142857143
56,AR_044,5,106,0.6010407307577121,0.5400602847233146,0.0055046174904023705,0.04716981132075472
57,AR_014,24,106,0.6060572027553159,0.5442698201378806,0.0062293887805696295,0.22641509433962265
58,AR_070,91,98,0.5808632977000325,0.5095932194041352,0.007377249490939591,0.9285714285714286
59,AR_041,95,102,0.5811157796451916,0.5092948060373219,0.006222598133496154,0.9313725490196079
60,AR_099,74,109,0.5846439493228485,0.515228327966848,0.005726106213744353,0.6788990825688074
61,AR_051,87,94,0.5845575818980075,0.5041198651991693,0.0064000799867469805,0.925531914893617
62,AR_094,6,114,0.6004942912837652,0.5467175970858,0.005763833318292845,0.05263157894736842
63,AR_067,91,111,0.5745030745030747,0.49890562912242664,0.006366580969755575,0.8198198198198198
64,AR_011,80,93,0.5718552654036525,0.4997297344086117,0.004715711973498209,0.8602150537634409
65,AR_008,0,107,0.6071799436285418,0.5544035116707886,0.006173878016628518,0.0
66,AR_047,93,93,0.5846987540535928,0.5191707180219415,0.006254824969483578,1.0
