,sample_name,false_negative_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,balanced_accuracy_variance,appearance_rate
0,AR_044,20,107,0.5148662268645777,0.46808377857750183,0.006480325852996192,0.18691588785046728
1,AR_073,23,98,0.5169567827130854,0.4553510119787518,0.007498438530455643,0.23469387755102042
2,AR_085,71,103,0.5059489815343612,0.4321341029213039,0.007978242948336656,0.6893203883495146
3,AR_057,41,117,0.5249287749287749,0.46874955923639167,0.007035930581064912,0.3504273504273504
4,AR_039,16,85,0.5255478662053056,0.47391712080144477,0.010949511244328563,0.18823529411764706
5,AR_070,93,93,0.49309508749736447,0.4318278219499232,0.007380489401620083,1.0
6,AR_096,80,105,0.4951680672268906,0.426561671544209,0.0065223685628097395,0.7619047619047619
7,AR_051,93,108,0.5066721132897603,0.4403254594749097,0.00859256070334798,0.8611111111111112
8,AR_053,51,102,0.5088908112264515,0.4489691440459873,0.006324314711476575,0.5
9,AR_092,27,105,0.5164098972922503,0.4556778957995665,0.007773928921744665,0.2571428571428571
10,AR_077,92,100,0.4889950980392158,0.41542739904384035,0.004702141440355108,0.92
11,AR_079,100,106,0.4981039585645581,0.4248756945122706,0.006358964846266538,0.9433962264150944
12,AR_071,0,91,0.5315934065934066,0.47716356769851426,0.007533086973686744,0.0
13,AR_050,39,89,0.510850407578762,0.44948395795616575,0.008017961792510072,0.43820224719101125
14,AR_084,22,102,0.5229479046520571,0.47000938658518154,0.007175432956061058,0.21568627450980393
15,AR_060,84,97,0.5021477663230242,0.43449766781845783,0.00828222840623683,0.865979381443299
16,AR_075,43,107,0.5197910940076966,0.46688410796623553,0.0076209690910085635,0.40186915887850466
17,AR_091,56,96,0.5073784722222223,0.4402985374444522,0.007414341497155279,0.5833333333333334
18,AR_043,93,100,0.5020833333333333,0.42486844442100546,0.006396672292902108,0.93
19,AR_055,34,102,0.5092993079584774,0.45504251366187937,0.00757804717093936,0.3333333333333333
20,AR_082,26,120,0.5309436274509803,0.4784093649482234,0.007332956791424758,0.21666666666666667
21,AR_099,16,101,0.5227383032420889,0.46646780715670366,0.008078758027186802,0.15841584158415842
22,AR_011,53,104,0.5167562217194567,0.4568036946236962,0.007906442650992508,0.5096153846153846
23,AR_052,38,97,0.5119264200525572,0.4548554700597413,0.008241850698697038,0.3917525773195876
24,AR_013,91,95,0.504076367389061,0.44372003493789,0.005270018196550297,0.9578947368421052
25,AR_007,57,74,0.5002318494965554,0.4381702766406467,0.00793510150846206,0.7702702702702703
26,AR_001,84,101,0.4931809357406331,0.4233394440929024,0.00695653161769464,0.8316831683168316
27,AR_065,82,113,0.5113439180982128,0.44776239954664243,0.00725191061154637,0.7256637168141593
28,AR_078,69,106,0.49660099889012194,0.4300723165224156,0.008318065711301168,0.6509433962264151
29,AR_095,59,101,0.5050232964472917,0.43481106912442413,0.007392274153885976,0.5841584158415841
30,AR_047,116,116,0.5081135902636918,0.4501060143469283,0.006368935630224105,1.0
31,AR_072,2,109,0.5390582838640045,0.49540003119605536,0.0059851974700522274,0.01834862385321101
32,AR_017,17,92,0.5108962063086102,0.4514512065837357,0.008738498206843888,0.18478260869565216
33,AR_056,61,89,0.5123925974884337,0.44590459107384794,0.009623888041116423,0.6853932584269663
34,AR_100,45,101,0.5228353717724713,0.4635816094577705,0.007069508205145774,0.44554455445544555
35,AR_006,50,94,0.5045629954109303,0.45234339834426857,0.007437508663932735,0.5319148936170213
36,AR_012,49,84,0.5141223155929038,0.4557840087859677,0.006519680082443246,0.5833333333333334
