,sample_name,false_negative_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,balanced_accuracy_variance,appearance_rate
0,13_A_B_OC,0,114,0.7248569284173001,0.6731458207275223,0.005830065073849939,0.0
1,45_A_B_OC,22,107,0.7206507071817679,0.6638751942387715,0.006304552468087977,0.205607476635514
2,16_nd_A_B_OC,0,100,0.7217112299465245,0.6687870428553191,0.0050298056200426865,0.0
3,22_A_B_OC,0,95,0.729524345623417,0.67926951549982,0.006412718710352222,0.0
4,11_nd_A_B_OC,3,79,0.7308941988763281,0.6809172592137441,0.006261046959300132,0.0379746835443038
5,19_A_B_OC,101,101,0.7156774500979508,0.6568935202072697,0.004919396783969054,1.0
6,8_nd_A_B_OC,2,110,0.7263976665046188,0.6742938767142348,0.006983526049797331,0.01818181818181818
7,36_A_B_OC,83,89,0.7063930781710027,0.6461736218990701,0.005210114088792669,0.9325842696629213
8,40_A_B_OC,19,121,0.7246431254695718,0.6717636925634649,0.007336734377957903,0.15702479338842976
9,2_nd_A_B_OC,5,104,0.7317719045660223,0.6806982531020236,0.005774499358665931,0.04807692307692308
10,4_nd_A_B_OC,0,90,0.7320558526440878,0.6821012098065502,0.005727624313869724,0.0
11,29_A_B_OC,3,100,0.7471925133689841,0.6961224631874262,0.005888241995579923,0.03
12,5_A_B_OC,3,117,0.7188856894739251,0.6656747978640624,0.005391463224928531,0.02564102564102564
13,14_nd_A_B_OC,77,92,0.7045454545454544,0.6425325585784741,0.007469331549230889,0.8369565217391305
14,18_A_B_OC,83,101,0.700667125536083,0.641928406665438,0.006500525642372356,0.8217821782178217
15,10_A_B_OC,0,90,0.7337789661319072,0.6816623064885446,0.00526534577495766,0.0
16,12_A_B_OC,41,91,0.7060586472351171,0.6491102175560609,0.0071777546140553376,0.45054945054945056
17,26_A_B_OC,5,91,0.7308867602985247,0.6808679990992544,0.007038833383595887,0.054945054945054944
18,21_A_B_OC,87,87,0.6967852971909767,0.6339179454132151,0.0057894234179035236,1.0
19,3_nd_A_B_OC,35,88,0.70718886728245,0.6509381183487035,0.00631002144069506,0.3977272727272727
20,22_nd_A_B_OC,39,94,0.715837979292297,0.6604931953518178,0.005756005127632116,0.4148936170212766
21,39_A_B_OC,88,88,0.6896268838113756,0.6243285000929887,0.005259538841283904,1.0
22,15_A_B_OC,11,92,0.7191350848639848,0.6634115236449859,0.006366692923854733,0.11956521739130435
23,25_A_B_OC,21,107,0.7193263031635767,0.6638179921111986,0.007631888775870656,0.19626168224299065
24,23_A_B_OC,96,96,0.7087511140819962,0.6491027876293195,0.004566637938213947,1.0
25,11_A_B_OC,2,107,0.7195761907141788,0.6694452045848016,0.005983697458230367,0.018691588785046728
26,4_A_B_OC,0,109,0.7311730363538247,0.6822146065112271,0.0061257341304006485,0.0
27,12_nd_A_B_OC,12,90,0.7301247771836005,0.6771078040985479,0.006479864509207351,0.13333333333333333
28,32_A_B_OC,45,118,0.7234886250339894,0.6677906095770453,0.0064857599479669105,0.3813559322033898
29,17_A_B_OC,92,101,0.7007465452427596,0.6414551799572453,0.006414064338173356,0.9108910891089109
30,37_A_B_OC,107,121,0.7061475228709065,0.646365263429817,0.006234975378034554,0.8842975206611571
31,14_A_B_OC,90,100,0.7114438502673799,0.6497918655078435,0.006508315734773455,0.9
32,1_nd_A_B_OC,2,111,0.7353904706845884,0.6851633040730596,0.005962284507567473,0.018018018018018018
33,20_A_B_OC,0,108,0.733462071697366,0.6821192050562028,0.006880680184311197,0.0
34,21_nd_A_B_OC,17,112,0.7312595492742554,0.6771355062535768,0.006115712209413059,0.15178571428571427
35,18_nd_A_B_OC,0,97,0.7357627212084457,0.6834428544042491,0.0059671915228009026,0.0
36,5_nd_A_B_OC,9,89,0.7279036231448657,0.6749087222794323,0.005796046380025898,0.10112359550561797
37,7_A_B_OC,0,113,0.7200085182906631,0.6666796821932411,0.005782605030086428,0.0
38,38_A_B_OC,1,109,0.733724181916303,0.681225858939931,0.006256892481644366,0.009174311926605505
39,3_A_B_OC,0,95,0.7288207148888263,0.6795426881843395,0.004963146529687453,0.0
40,28_A_B_OC,0,85,0.7220824158540421,0.6707860609249501,0.006526418797665766,0.0
41,6_nd_A_B_OC,101,101,0.6969873457934027,0.6366933586586763,0.00544927062696833,1.0
42,15_nd_A_B_OC,0,100,0.7311497326203209,0.681881093124403,0.005299408769267787,0.0
43,16_A_B_OC,84,87,0.6838465793841048,0.6197848518805188,0.005585339958455124,0.9655172413793104
44,7_nd_A_B_OC,1,106,0.7281051357077997,0.6746418641094937,0.007039209314310657,0.009433962264150943
45,9_nd_A_B_OC,0,100,0.7390374331550802,0.6885374355656527,0.005742748772289224,0.0
