sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
22_nd_A_B_H,0,0,66,104,0.7131324557795147,0.6591456234579258,0.7848879062114354,0.4235728258481516,0.6626689212766963,0.5951418089585864,0.006242932100043545,0.0
37_A_B_H,0,0,17,103,0.714916151809356,0.654267251638607,0.7936763407922744,0.4304960717251887,0.6316804070855726,0.6390997643547802,0.006748991194000734,0.0
10_A_B_OC,1,0,0,102,0.7349271259305862,0.6854402968600838,0.8105798469120263,0.4667661102804558,0.37463538454174256,0.8664752432462073,0.004982778129042482,0.0
30_A_B_H,0,0,0,95,0.7081621165212497,0.6433253062112916,0.7900365887981988,0.41879350066016147,0.16818031940942088,0.9539139556358716,0.008152200523663304,0.0
13_A_B_H,0,0,100,105,0.6995670995670998,0.6406634504608373,0.7614463967405145,0.3967353344574766,0.5995405538252935,0.6871684722808378,0.006133196519324234,0.0
2_nd_A_B_H,0,0,2,104,0.7142636774989717,0.6535236733916026,0.7950431921020156,0.4300727004696121,0.5754542204328911,0.7168332147207201,0.006010046858744472,0.0
21_nd_A_B_OC,1,28,0,100,0.7130213903743318,0.6540522361152119,0.7850267379679141,0.42630685034467874,0.5254983260633092,0.7494287082055625,0.005479319922898521,0.0
40_A_B_OC,1,20,0,99,0.7029924917625451,0.641245431776384,0.7804515745692215,0.4065472693092921,0.6482601796954423,0.6252300517623103,0.007720055951550787,0.0
44_A_B_H,0,0,0,106,0.715064070225003,0.6558981693076752,0.7946221370194729,0.430400186347557,0.07257946583165388,0.982915081567226,0.006029833072275517,0.0
28_A_B_OC,1,0,0,102,0.7303135157806441,0.6750821432320185,0.8048652616126665,0.46081672173043975,0.4471825868054426,0.8208105271600155,0.006216827296777749,0.0
34_A_B_H,0,0,0,93,0.7243114254499455,0.6647332794167252,0.7899200736012879,0.45071132348228515,0.16909133590610195,0.9454086594804392,0.0068353184817097935,0.0
10_A_B_H,0,0,16,84,0.719314998726763,0.6575461127704265,0.7960593328240386,0.44375903212960227,0.6547986368355615,0.6069791142871104,0.0065136825474811574,0.0
21_nd_A_B_H,0,0,80,126,0.705330617095323,0.6454607093400919,0.7709659621424324,0.41035330555050215,0.6463982064850825,0.6166041019976926,0.006040472127921011,0.0
36_A_B_H,0,0,0,98,0.7058550693004476,0.6393108499806877,0.7887700534759358,0.4151714858664408,0.3496952306160251,0.851096880874535,0.00721824822426803,0.0
15_nd_A_B_OC,1,0,0,95,0.7283422459893049,0.677820698029372,0.7953278919223191,0.4552169877852899,0.3051572741366885,0.8998806436532584,0.0058642213802741995,0.0
