sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
46_A_B_H,0,0,0,93,0.6666954171698003,0.6091014532680255,0.7408717152550168,0.3352547501994612,0.00996509179204846,0.9982480818907552,0.007288053677302989,0.0
22_nd_A_B_H,0,0,110,111,0.67774726598256,0.6345615577914349,0.7231536349183407,0.3543673123597964,0.5887485826615322,0.7111748938019107,0.006144253331762271,0.0
17_A_B_H,0,0,76,91,0.6618969266028089,0.6195716128724778,0.7124346241993302,0.3238910479443177,0.6548494881619543,0.6088004444046413,0.008002685511336032,0.0
8_nd_A_B_OC,1,82,0,91,0.6503790327319736,0.5930830033796337,0.7237174590115767,0.30048844873603475,0.5511745199320766,0.7244450681786813,0.006262426190076395,0.0
9_nd_A_B_H,0,0,102,103,0.6742640569025491,0.6279468896313241,0.7227298686464879,0.34861239352437867,0.54160083208783,0.7523376027276076,0.006737820330565341,0.0
30_A_B_H,0,0,0,110,0.6862664073894021,0.6342502786068707,0.7537190082644631,0.36981357181963864,0.007989784770817897,0.9986593851482635,0.007845386158897655,0.0
24_nd_A_B_H,0,0,98,105,0.6610134963076139,0.6156817102598693,0.721823274764451,0.32206259121488734,0.6451599276478901,0.6305584299933046,0.007496334796586449,0.0
39_A_B_H,0,0,0,81,0.68459100812042,0.6287760722703866,0.7483660130718955,0.36872909391589526,0.012026541337659692,0.9978586622357094,0.005294769017637845,0.0
23_A_B_OC,1,119,0,120,0.6574420677361854,0.6046023925300473,0.7192959001782533,0.31325603933673085,0.44663371088891707,0.8068790178066322,0.006076111991309151,0.0
37_A_B_H,0,0,0,110,0.6964754496840062,0.6450705146784995,0.7624210014584343,0.39210817322824437,0.32657889722035227,0.8841739683553748,0.0052030004843322325,0.0
6_nd_A_B_OC,1,19,0,92,0.6689432690072072,0.6170500930909847,0.7338119042083234,0.33642142690382504,0.6498545183349151,0.61929634674926,0.006742695704394078,0.0
40_A_B_H,0,0,0,104,0.6867030028794736,0.6364759051152848,0.746426367749897,0.3718100070624353,0.06487616875283869,0.9857288159763399,0.006653527286122259,0.0
24_nh_A_B_H,0,0,2,100,0.6933155080213906,0.6442718522395063,0.7535561497326203,0.3853356724957378,0.4370396977691326,0.7996799062560263,0.005207137288409273,0.0
44_A_B_H,0,0,0,95,0.6981987053194484,0.6474351519952543,0.7612158739093725,0.3936068975046939,0.006552572116792287,0.9989329990194592,0.006588699246880544,0.0
22_A_B_OC,1,21,0,87,0.6901469051570469,0.639145385743944,0.7490933677546255,0.38162220243768585,0.6560573538592185,0.6044709060670789,0.006757883442171094,0.0
