,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
0,18_nd_A_B_H,0,80,105,0.6708938120702829,0.6170595646155053,0.7427298192004073,0.3408311665971589,0.642621102255068,0.6280917627423794,0.005824817679960807,0.0
1,18_A_B_H,0,104,107,0.6682742765755411,0.6237344634211204,0.7170523264530962,0.33490906224509226,0.5569153581255091,0.7349329371989712,0.006534935124214788,0.0
2,12_nd_A_B_H,0,85,86,0.6679828379554782,0.6232521028790667,0.7160800895411019,0.33581697408888667,0.5309947045663584,0.7625396701921965,0.005536028021535901,0.0
3,3_A_B_H,0,67,87,0.6606429405618045,0.6137523623916422,0.7140881430942285,0.3219769896097286,0.6283476511880048,0.6490170681988129,0.006106607777986183,0.0
4,16_nd_A_B_H,0,108,108,0.6664438502673797,0.6218704006038117,0.7042978807684691,0.3307486566919222,0.32809758888090323,0.8943477485209931,0.007216288098163315,0.0
5,19_A_B_H,0,0,106,0.6870648774089401,0.6345253213611639,0.7468973867420038,0.3729722737269371,0.005648181546733295,0.999014631894987,0.006359636157780823,0.0
6,41_A_B_OC,2,0,95,0.6932732901773151,0.6478231723681759,0.7450605122431746,0.38312971472969837,0.619982549161723,0.6726583607097613,0.0067069530821363904,0.021052631578947368
7,8_nh_A_B_H,0,0,105,0.6887191240132418,0.639104128915103,0.755564043799338,0.3748504743337521,0.2845634424043042,0.9004526892152682,0.007118362658626894,0.0
8,15_nd_A_B_OC,3,0,110,0.6919543023821103,0.6439872978588712,0.7531113271754979,0.3822653720018094,0.6351293201979586,0.6475175886629753,0.007325635924262335,0.02727272727272727
9,22_nd_A_B_H,0,77,81,0.6837327523602035,0.6387087675747795,0.7373737373737373,0.36619152576649844,0.5891900214642829,0.7041786515066368,0.004625567389670357,0.0
10,11_nd_A_B_H,0,5,107,0.6927132790244391,0.6423835313862163,0.7626318156829426,0.38214214238744276,0.5945531977647133,0.6962795059676985,0.007753187990033685,0.0
