k_value,model,accuracy,classification_report
all_k,KNN,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.83      0.62      0.71         8
           1       0.62      0.83      0.71         6

    accuracy                           0.71        14
   macro avg       0.73      0.73      0.71        14
weighted avg       0.74      0.71      0.71        14
"
all_k,Logistic Regression,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.83      0.62      0.71         8
           1       0.62      0.83      0.71         6

    accuracy                           0.71        14
   macro avg       0.73      0.73      0.71        14
weighted avg       0.74      0.71      0.71        14
"
all_k,SVM,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
all_k,Decision Tree,0.5,"              precision    recall  f1-score   support

           0       0.57      0.50      0.53         8
           1       0.43      0.50      0.46         6

    accuracy                           0.50        14
   macro avg       0.50      0.50      0.50        14
weighted avg       0.51      0.50      0.50        14
"
all_k,Random Forest,0.8571428571428571,"              precision    recall  f1-score   support

           0       0.88      0.88      0.88         8
           1       0.83      0.83      0.83         6

    accuracy                           0.86        14
   macro avg       0.85      0.85      0.85        14
weighted avg       0.86      0.86      0.86        14
"
all_k,MLP,0.9285714285714286,"              precision    recall  f1-score   support

           0       1.00      0.88      0.93         8
           1       0.86      1.00      0.92         6

    accuracy                           0.93        14
   macro avg       0.93      0.94      0.93        14
weighted avg       0.94      0.93      0.93        14
"
all_k,Neural Network,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
avg_k,KNN,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.83      0.62      0.71         8
           1       0.62      0.83      0.71         6

    accuracy                           0.71        14
   macro avg       0.73      0.73      0.71        14
weighted avg       0.74      0.71      0.71        14
"
avg_k,Logistic Regression,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
avg_k,SVM,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
avg_k,Decision Tree,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.75      0.75      0.75         8
           1       0.67      0.67      0.67         6

    accuracy                           0.71        14
   macro avg       0.71      0.71      0.71        14
weighted avg       0.71      0.71      0.71        14
"
avg_k,Random Forest,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.86      0.75      0.80         8
           1       0.71      0.83      0.77         6

    accuracy                           0.79        14
   macro avg       0.79      0.79      0.78        14
weighted avg       0.80      0.79      0.79        14
"
avg_k,MLP,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.86      0.75      0.80         8
           1       0.71      0.83      0.77         6

    accuracy                           0.79        14
   macro avg       0.79      0.79      0.78        14
weighted avg       0.80      0.79      0.79        14
"
avg_k,Neural Network,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
sqrt_n,KNN,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.83      0.62      0.71         8
           1       0.62      0.83      0.71         6

    accuracy                           0.71        14
   macro avg       0.73      0.73      0.71        14
weighted avg       0.74      0.71      0.71        14
"
sqrt_n,Logistic Regression,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
sqrt_n,SVM,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
sqrt_n,Decision Tree,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.78      0.88      0.82         8
           1       0.80      0.67      0.73         6

    accuracy                           0.79        14
   macro avg       0.79      0.77      0.78        14
weighted avg       0.79      0.79      0.78        14
"
sqrt_n,Random Forest,0.6428571428571429,"              precision    recall  f1-score   support

           0       0.67      0.75      0.71         8
           1       0.60      0.50      0.55         6

    accuracy                           0.64        14
   macro avg       0.63      0.62      0.63        14
weighted avg       0.64      0.64      0.64        14
"
sqrt_n,MLP,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.86      0.75      0.80         8
           1       0.71      0.83      0.77         6

    accuracy                           0.79        14
   macro avg       0.79      0.79      0.78        14
weighted avg       0.80      0.79      0.79        14
"
sqrt_n,Neural Network,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
log_n,KNN,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.83      0.62      0.71         8
           1       0.62      0.83      0.71         6

    accuracy                           0.71        14
   macro avg       0.73      0.73      0.71        14
weighted avg       0.74      0.71      0.71        14
"
log_n,Logistic Regression,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
log_n,SVM,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
log_n,Decision Tree,0.6428571428571429,"              precision    recall  f1-score   support

           0       0.67      0.75      0.71         8
           1       0.60      0.50      0.55         6

    accuracy                           0.64        14
   macro avg       0.63      0.62      0.63        14
weighted avg       0.64      0.64      0.64        14
"
log_n,Random Forest,0.5714285714285714,"              precision    recall  f1-score   support

           0       0.62      0.62      0.62         8
           1       0.50      0.50      0.50         6

    accuracy                           0.57        14
   macro avg       0.56      0.56      0.56        14
weighted avg       0.57      0.57      0.57        14
"
log_n,MLP,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.86      0.75      0.80         8
           1       0.71      0.83      0.77         6

    accuracy                           0.79        14
   macro avg       0.79      0.79      0.78        14
weighted avg       0.80      0.79      0.79        14
"
log_n,Neural Network,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
sqrt_n/2,KNN,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.83      0.62      0.71         8
           1       0.62      0.83      0.71         6

    accuracy                           0.71        14
   macro avg       0.73      0.73      0.71        14
weighted avg       0.74      0.71      0.71        14
"
sqrt_n/2,Logistic Regression,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
sqrt_n/2,SVM,0.7142857142857143,"              precision    recall  f1-score   support

           0       1.00      0.50      0.67         8
           1       0.60      1.00      0.75         6

    accuracy                           0.71        14
   macro avg       0.80      0.75      0.71        14
weighted avg       0.83      0.71      0.70        14
"
sqrt_n/2,Decision Tree,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.75      0.75      0.75         8
           1       0.67      0.67      0.67         6

    accuracy                           0.71        14
   macro avg       0.71      0.71      0.71        14
weighted avg       0.71      0.71      0.71        14
"
sqrt_n/2,Random Forest,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.86      0.75      0.80         8
           1       0.71      0.83      0.77         6

    accuracy                           0.79        14
   macro avg       0.79      0.79      0.78        14
weighted avg       0.80      0.79      0.79        14
"
sqrt_n/2,MLP,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.83      0.62      0.71         8
           1       0.62      0.83      0.71         6

    accuracy                           0.71        14
   macro avg       0.73      0.73      0.71        14
weighted avg       0.74      0.71      0.71        14
"
sqrt_n/2,Neural Network,0.7857142857142857,"              precision    recall  f1-score   support

           0       1.00      0.62      0.77         8
           1       0.67      1.00      0.80         6

    accuracy                           0.79        14
   macro avg       0.83      0.81      0.78        14
weighted avg       0.86      0.79      0.78        14
"
