k_value,model,accuracy,classification_report
all_k,KNN,0.6785714285714286,"              precision    recall  f1-score   support

           0       0.75      0.71      0.73        17
           1       0.58      0.64      0.61        11

    accuracy                           0.68        28
   macro avg       0.67      0.67      0.67        28
weighted avg       0.68      0.68      0.68        28
"
all_k,Logistic Regression,0.75,"              precision    recall  f1-score   support

           0       0.81      0.76      0.79        17
           1       0.67      0.73      0.70        11

    accuracy                           0.75        28
   macro avg       0.74      0.75      0.74        28
weighted avg       0.76      0.75      0.75        28
"
all_k,SVM,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.76      0.76      0.76        17
           1       0.64      0.64      0.64        11

    accuracy                           0.71        28
   macro avg       0.70      0.70      0.70        28
weighted avg       0.71      0.71      0.71        28
"
all_k,Decision Tree,0.6428571428571429,"              precision    recall  f1-score   support

           0       0.77      0.59      0.67        17
           1       0.53      0.73      0.62        11

    accuracy                           0.64        28
   macro avg       0.65      0.66      0.64        28
weighted avg       0.68      0.64      0.65        28
"
all_k,Random Forest,0.75,"              precision    recall  f1-score   support

           0       0.81      0.76      0.79        17
           1       0.67      0.73      0.70        11

    accuracy                           0.75        28
   macro avg       0.74      0.75      0.74        28
weighted avg       0.76      0.75      0.75        28
"
all_k,MLP,0.8214285714285714,"              precision    recall  f1-score   support

           0       0.93      0.76      0.84        17
           1       0.71      0.91      0.80        11

    accuracy                           0.82        28
   macro avg       0.82      0.84      0.82        28
weighted avg       0.84      0.82      0.82        28
"
all_k,Neural Network,0.75,"              precision    recall  f1-score   support

           0       0.81      0.76      0.79        17
           1       0.67      0.73      0.70        11

    accuracy                           0.75        28
   macro avg       0.74      0.75      0.74        28
weighted avg       0.76      0.75      0.75        28
"
avg_k,KNN,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.68      0.87      0.76        15
           1       0.78      0.54      0.64        13

    accuracy                           0.71        28
   macro avg       0.73      0.70      0.70        28
weighted avg       0.73      0.71      0.71        28
"
avg_k,Logistic Regression,0.6071428571428571,"              precision    recall  f1-score   support

           0       0.61      0.73      0.67        15
           1       0.60      0.46      0.52        13

    accuracy                           0.61        28
   macro avg       0.61      0.60      0.59        28
weighted avg       0.61      0.61      0.60        28
"
avg_k,SVM,0.6785714285714286,"              precision    recall  f1-score   support

           0       0.65      0.87      0.74        15
           1       0.75      0.46      0.57        13

    accuracy                           0.68        28
   macro avg       0.70      0.66      0.66        28
weighted avg       0.70      0.68      0.66        28
"
