k_value,model,accuracy,classification_report
all_k,KNN,0.75,"              precision    recall  f1-score   support

           0       0.76      0.81      0.79        16
           1       0.73      0.67      0.70        12

    accuracy                           0.75        28
   macro avg       0.75      0.74      0.74        28
weighted avg       0.75      0.75      0.75        28
"
all_k,Logistic Regression,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.73      1.00      0.84        16
           1       1.00      0.50      0.67        12

    accuracy                           0.79        28
   macro avg       0.86      0.75      0.75        28
weighted avg       0.84      0.79      0.77        28
"
all_k,SVM,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.73      1.00      0.84        16
           1       1.00      0.50      0.67        12

    accuracy                           0.79        28
   macro avg       0.86      0.75      0.75        28
weighted avg       0.84      0.79      0.77        28
"
all_k,Decision Tree,0.6071428571428571,"              precision    recall  f1-score   support

           0       0.65      0.69      0.67        16
           1       0.55      0.50      0.52        12

    accuracy                           0.61        28
   macro avg       0.60      0.59      0.59        28
weighted avg       0.60      0.61      0.60        28
"
all_k,Random Forest,0.7142857142857143,"              precision    recall  f1-score   support

           0       0.70      0.88      0.78        16
           1       0.75      0.50      0.60        12

    accuracy                           0.71        28
   macro avg       0.72      0.69      0.69        28
weighted avg       0.72      0.71      0.70        28
"
all_k,MLP,0.75,"              precision    recall  f1-score   support

           0       0.74      0.88      0.80        16
           1       0.78      0.58      0.67        12

    accuracy                           0.75        28
   macro avg       0.76      0.73      0.73        28
weighted avg       0.75      0.75      0.74        28
"
all_k,Neural Network,0.8571428571428571,"              precision    recall  f1-score   support

           0       0.80      1.00      0.89        16
           1       1.00      0.67      0.80        12

    accuracy                           0.86        28
   macro avg       0.90      0.83      0.84        28
weighted avg       0.89      0.86      0.85        28
"
avg_k,KNN,0.6785714285714286,"              precision    recall  f1-score   support

           0       0.71      0.75      0.73        16
           1       0.64      0.58      0.61        12

    accuracy                           0.68        28
   macro avg       0.67      0.67      0.67        28
weighted avg       0.68      0.68      0.68        28
"
avg_k,Logistic Regression,0.8214285714285714,"              precision    recall  f1-score   support

           0       0.76      1.00      0.86        16
           1       1.00      0.58      0.74        12

    accuracy                           0.82        28
   macro avg       0.88      0.79      0.80        28
weighted avg       0.86      0.82      0.81        28
"
avg_k,SVM,0.7857142857142857,"              precision    recall  f1-score   support

           0       0.73      1.00      0.84        16
           1       1.00      0.50      0.67        12

    accuracy                           0.79        28
   macro avg       0.86      0.75      0.75        28
weighted avg       0.84      0.79      0.77        28
"
avg_k,Decision Tree,0.75,"              precision    recall  f1-score   support

           0       0.80      0.75      0.77        16
           1       0.69      0.75      0.72        12

    accuracy                           0.75        28
   macro avg       0.75      0.75      0.75        28
weighted avg       0.75      0.75      0.75        28
"
avg_k,Random Forest,0.6785714285714286,"              precision    recall  f1-score   support

           0       0.71      0.75      0.73        16
           1       0.64      0.58      0.61        12

    accuracy                           0.68        28
   macro avg       0.67      0.67      0.67        28
weighted avg       0.68      0.68      0.68        28
"
